label,image,item-count,item-key
The Mummy,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ccf8d04e-b9b5-484c-8051-0beeb740f0ef.jpg?alt=media&token=427099be-c431-46a4-9c17-e84324388f4a,1,type-1a6c940f-9af2-4abc-b99a-294afa16f421
The Archeologist,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/8ce33dcf-8445-4671-a625-3d571039a8bd.jpg?alt=media&token=868dc455-12c3-4d9c-a0ef-a9fd5adbc5b4,1,type-0d3432a6-cd30-46d7-b01c-70272722885e
Cat Burglar,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/97e22128-42e3-483b-9c4d-61b638a5317b.jpg?alt=media&token=4e5190a0-8ed5-42ad-9cfd-37185e86e5a7,1,type-8ddef05b-435b-469f-b15e-e546d9d2a1e8
Gargoyle,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/65a80b01-cd05-44f7-a9b2-ce49deb8c977.jpg?alt=media&token=e9edeb51-5e89-4462-876f-d8b4eb746f84,1,type-cb9db829-31d4-4118-8d95-6e8ec3b367ad
Phantom of the Museum,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/afe88d1f-ae29-4db6-91a5-c36be3945613.jpg?alt=media&token=9f175378-0f51-40c5-b160-1ab957115e63,1,type-75046b20-8ce4-4b39-aac2-e3ce4361797d
Sarcophagus,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/49182ac7-3afe-4459-9bd9-f5f45bf92258.jpg?alt=media&token=63930167-e296-4a57-acb8-151c4c3b843c,1,type-90bea891-419d-4ce3-a411-725a1c616f47
Sasquatch,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b03af2bf-b91c-485a-a8ce-2812035babb4.jpg?alt=media&token=909a8255-0eba-49a4-8782-242eb49876e0,1,type-6b83029d-88bc-4e89-96a9-a3d7a66255e2
Statue of Anubis,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/9ffefba8-5bcd-42c5-8308-29f74f212ade.jpg?alt=media&token=60b9c5b0-73b4-4696-8d85-8d6f5c5f58a9,1,type-c39c0f5c-861d-4335-81c3-8aaf435bd4d8
Picture of Dorian Gray,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/d162b06a-a5fe-417d-ac72-4bf5cb8f7554.jpg?alt=media&token=a5591687-e78f-4612-989d-bfa85a76baee,1,type-50ef1c9c-7717-4c4f-820f-4806007171e9
Magic Mirror,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ddb92ade-b217-46e0-9a70-178f5c3ec4d5.jpg?alt=media&token=18bb9fc7-2d0f-4d33-9673-eba37eed4de3,1,type-289140c9-fb09-45bc-9870-a5acb7260661
