label,image,item-count,item-key
The Mummy,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/771fa420-218f-4f33-a126-c312f12134c2.jpg?alt=media&token=29d16a34-a171-4f58-b389-20897efec9a8,1,type-5f29b01f-3b64-4e3e-b30d-7f6917043e9f
The Archeologist,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/af797973-3b01-462f-89d8-5b013ef7f43d.jpg?alt=media&token=a0a77d81-a01a-4cf0-8f35-554240299d77,1,type-e6c37a23-54f5-4462-b1c6-2ec90d9e39ac
Cat Burglar,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/5b9d02c5-aaff-4865-83f4-302689682276.jpg?alt=media&token=9c9ca88c-1ede-41e3-9e9a-7001392eeb8e,1,type-2c68c143-3e41-4d6b-83ea-2dc3f6d19ec7
Gargoyle,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/024206b0-7bcb-44a6-b4a9-df45a601d9fe.jpg?alt=media&token=17ed288e-ecc9-4fc5-8d16-37e6588287c5,1,type-bd6b29b6-4c70-4392-a354-489af9114536
Phantom of the Museum,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/a4dbd56e-0436-4fd8-bea0-94e87a9b1765.jpg?alt=media&token=782cbc52-5c24-455b-a4ff-05f2cca0ac7f,1,type-5b70ad06-f5d3-4c34-a9f6-30b5b18bf496
Sarcophagus,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/6a31adf0-76dd-48e4-a61a-9fad70347089.jpg?alt=media&token=42e39269-94df-4b69-b31e-d19b07ea1a13,1,type-dfe24118-d3c6-40c2-971c-299b83e2c845
Sasquatch,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/7d607ad0-2fac-4e83-ade7-06f7b55c991e.jpg?alt=media&token=0877a50f-1783-4d50-93bc-4e9d40a439af,1,type-6a15eb0c-98b0-494a-a527-1e56d4a4945e
Statue of Anubis,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/223c755a-918d-4af6-820b-40d29af0f885.jpg?alt=media&token=23010a46-6f21-4930-8cda-26c45d8e1ad0,1,type-fa0cabde-696c-44c4-a80b-f4d5cc508719
Picture of Dorian Gray,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/bfb01873-b194-4c9b-93ae-d7c0fb9d43ee.jpg?alt=media&token=8e133e5c-d522-46a1-8508-ea60777d74cd,1,type-f021019d-fee6-4120-bda3-68a961910f1f
Magic Mirror,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/682e356d-4d73-4940-b8e7-025b83f677b5.jpg?alt=media&token=ac338907-bc62-4822-ad87-5343746a310e,1,type-beb473d1-0eae-4a49-bea7-c9a1e6ea7386
